file,class,method,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-2.6.1\lottie\src\main\java\com\airbnb\lottie\animation\keyframe\ValueCallbackKeyframeAnimation.java,com.airbnb.lottie.animation.keyframe.ValueCallbackKeyframeAnimation,ValueCallbackKeyframeAnimation/1[com.airbnb.lottie.value.LottieValueCallback<A>],12,5,1,2,4,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,8,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-2.6.1\lottie\src\main\java\com\airbnb\lottie\animation\keyframe\ValueCallbackKeyframeAnimation.java,com.airbnb.lottie.animation.keyframe.ValueCallbackKeyframeAnimation,getValue/0,31,3,1,2,3,1,0,0,31,0,0,0,0,0,2,0,0,0,0,0,0,3,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-2.6.1\lottie\src\main\java\com\airbnb\lottie\Cancellable.java,com.airbnb.lottie.Cancellable,cancel/0,5,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,-1,0,0,0,1,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-2.6.1\lottie\src\main\java\com\airbnb\lottie\FontAssetDelegate.java,com.airbnb.lottie.FontAssetDelegate,getFontPath/1[java.lang.String],23,0,1,0,3,1,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,16,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-2.6.1\lottie\src\main\java\com\airbnb\lottie\FontAssetDelegate.java,com.airbnb.lottie.FontAssetDelegate,fetchFont/1[java.lang.String],16,1,1,0,3,1,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,12,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-2.6.1\lottie\src\main\java\com\airbnb\lottie\ImageAssetDelegate.java,com.airbnb.lottie.ImageAssetDelegate,fetchBitmap/1[com.airbnb.lottie.LottieImageAsset],11,2,1,0,1,0,0,1,11,0,0,0,0,0,0,0,0,-1,0,0,0,6,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-2.6.1\lottie\src\main\java\com\airbnb\lottie\L.java,com.airbnb.lottie.L,setTraceEnabled/1[boolean],42,1,3,0,10,1,0,1,42,0,1,0,0,0,0,3,0,1,0,0,0,9,9
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-2.6.1\lottie\src\main\java\com\airbnb\lottie\L.java,com.airbnb.lottie.L,endSection/1[java.lang.String],67,0,5,3,18,3,0,1,67,0,1,0,1,4,5,0,3,1,0,0,0,17,9
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-2.6.1\lottie\src\main\java\com\airbnb\lottie\L.java,com.airbnb.lottie.L,beginSection/1[java.lang.String],53,0,3,2,13,2,0,1,53,0,1,0,0,0,0,2,0,1,0,0,0,18,9
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-2.6.1\lottie\src\main\java\com\airbnb\lottie\L.java,com.airbnb.lottie.L,debug/1[java.lang.String],27,0,2,1,3,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,5,9
