name,version,bunch_algo,n_MoJo,mojoFM
bumptech-glide,4.5.0,ga,492,54.44444444444445
bumptech-glide,4.6.0,exhaustive,568,47.40740740740741
bumptech-glide,4.6.1,ga,493,54.35185185185185
bumptech-glide,4.7.0,hillclimbing,552,48.88888888888889
bumptech-glide,4.7.1,hillclimbing,464,57.03703703703704
bumptech-glide,4.8.0,hillclimbing,528,51.11111111111111
codecentric-spring-boot-admin,2.1.0,hillclimbing,216,50.68493150684932
codecentric-spring-boot-admin,2.1.2,hillclimbing,213,51.369863013698634
codecentric-spring-boot-admin,2.1.3,exhaustive,112,74.42922374429224
codecentric-spring-boot-admin,2.1.4,hillclimbing,140,68.0365296803653
codecentric-spring-boot-admin,2.1.5,ga,142,67.57990867579909
dropwizard-dropwizard,1.3.12,hillclimbing,501,58.83319638455218
dropwizard-dropwizard,1.3.13,ga,493,59.49055053410024
dropwizard-dropwizard,1.3.14,ga,690,43.30320460147905
dropwizard-dropwizard,1.3.2,hillclimbing,239,80.36154478225144
dropwizard-dropwizard,1.3.3,ga,621,48.97288414133114
dropwizard-dropwizard,1.3.4,hillclimbing,404,66.80361544782252
dropwizard-dropwizard,1.3.5,exhaustive,636,47.740345110928516
dropwizard-dropwizard,1.3.6,exhaustive,603,50.4519309778143
dropwizard-dropwizard,1.3.7,exhaustive,665,45.35743631881676
dropwizard-dropwizard,1.3.8,hillclimbing,629,48.315529991783066
dropwizard-metrics,3.2.4,hillclimbing,89,73.1117824773414
dropwizard-metrics,3.2.5,exhaustive,151,54.38066465256798
dropwizard-metrics,3.2.6,exhaustive,144,56.495468277945626
dropwizard-metrics,4.0.0,hillclimbing,92,72.20543806646525
dropwizard-metrics,4.0.1,exhaustive,179,45.9214501510574
dropwizard-metrics,4.0.2,exhaustive,128,61.329305135951664
dropwizard-metrics,4.0.3,ga,149,54.98489425981873
dropwizard-metrics,4.0.4,hillclimbing,155,53.17220543806647
dropwizard-metrics,4.0.5,hillclimbing,161,51.359516616314195
dropwizard-metrics,4.0.6,exhaustive,102,69.18429003021149
facebook-facebook-android-sdk,4.42.0,ga,313,70.69288389513109
facebook-facebook-android-sdk,5.0.0,exhaustive,231,78.37078651685393
facebook-facebook-android-sdk,5.0.1,ga,265,75.187265917603
facebook-facebook-android-sdk,5.0.2,ga,259,75.74906367041199
facebook-facebook-android-sdk,5.0.3,exhaustive,258,75.84269662921348
facebook-facebook-android-sdk,5.1.0,ga,341,68.07116104868913
facebook-facebook-android-sdk,5.1.1,exhaustive,283,73.50187265917603
facebook-facebook-android-sdk,5.2.0,hillclimbing,268,74.90636704119851
facebook-facebook-android-sdk,5.4.0,exhaustive,259,75.74906367041199
facebook-facebook-android-sdk,5.5.0,exhaustive,253,76.31086142322097
google-dagger,2.19,exhaustive,790,0.5037783375314908
google-dagger,2.20,hillclimbing,648,18.387909319899244
google-dagger,2.21,hillclimbing,608,23.425692695214106
google-dagger,2.22,ga,650,18.136020151133504
google-dagger,2.22.1,ga,638,19.647355163727966
google-dagger,2.23,exhaustive,538,32.241813602015114
google-dagger,2.23.1,ga,567,28.589420654911834
google-dagger,2.23.2,ga,589,25.81863979848866
google-dagger,2.24,exhaustive,586,26.19647355163728
google-error-prone,2.0.20,hillclimbing,646,54.281670205237084
google-error-prone,2.0.21,exhaustive,603,57.324840764331206
google-error-prone,2.1.0,hillclimbing,770,45.50601556970983
google-error-prone,2.1.1,exhaustive,648,54.14012738853503
google-error-prone,2.1.2,hillclimbing,547,61.28803963198868
google-error-prone,2.1.3,ga,337,76.15003538570417
google-error-prone,2.2.0,exhaustive,771,45.43524416135881
google-error-prone,2.3.0,exhaustive,587,58.45718329794762
google-error-prone,2.3.1,exhaustive,689,51.238499646142955
google-error-prone,2.3.2,hillclimbing,564,60.08492569002123
grpc-grpc-java,1.17.1,ga,495,54.87693710118505
grpc-grpc-java,1.17.2,exhaustive,523,52.324521422060165
grpc-grpc-java,1.18.0,ga,790,27.985414767547855
grpc-grpc-java,1.19.0,exhaustive,735,32.999088422971745
grpc-grpc-java,1.20.0,hillclimbing,608,44.57611668185961
grpc-grpc-java,1.21.0,ga,568,48.22242479489517
grpc-grpc-java,1.21.1,exhaustive,547,50.13673655423882
grpc-grpc-java,1.22.0,hillclimbing,669,39.015496809480396
grpc-grpc-java,1.22.1,exhaustive,588,46.399270738377396
grpc-grpc-java,1.22.2,ga,629,42.661804922515955
java-native-accessjna,4.3.0,exhaustive,411,57.45341614906832
java-native-accessjna,4.4.0,hillclimbing,342,64.59627329192547
java-native-accessjna,4.5.0,hillclimbing,365,62.215320910973084
java-native-accessjna,4.5.1,ga,384,60.24844720496895
java-native-accessjna,4.5.2,exhaustive,415,57.03933747412009
java-native-accessjna,5.0.0,exhaustive,369,61.80124223602485
java-native-accessjna,5.1.0,exhaustive,396,59.006211180124225
java-native-accessjna,5.2.0,ga,228,76.3975155279503
java-native-accessjna,5.3.0,exhaustive,282,70.80745341614907
java-native-accessjna,5.3.1,ga,341,64.69979296066253
jenkinsci-jenkins,2.184,ga,1027,91.17166680993725
jenkinsci-jenkins,2.185,exhaustive,884,92.40092839336371
jenkinsci-jenkins,2.186,exhaustive,1063,90.86220235536835
jenkinsci-jenkins,2.187,exhaustive,1031,91.1372818705407
jenkinsci-jenkins,2.189,hillclimbing,1129,90.29485085532536
jenkinsci-jenkins,2.190,ga,1051,90.96535717355798
jenkinsci-jenkins,2.191,ga,1095,90.58712284019599
jenkinsci-jenkins,2.192,hillclimbing,1112,90.44098684776068
jenkinsci-jenkins,2.193,hillclimbing,1077,90.74185506748044
jenkinsci-jenkins,2.194,ga,1047,90.99974211295454
jhy-jsoup,1.6.0,hillclimbing,40,59.5959595959596
jhy-jsoup,1.6.1,exhaustive,43,56.56565656565656
jhy-jsoup,1.6.2,exhaustive,46,53.535353535353536
jhy-jsoup,1.6.3,exhaustive,30,69.6969696969697
jhy-jsoup,1.7.1,hillclimbing,48,51.515151515151516
jhy-jsoup,1.7.2,ga,49,50.5050505050505
jhy-jsoup,1.7.3,exhaustive,46,53.535353535353536
jhy-jsoup,1.8.2,ga,51,48.484848484848484
jhy-jsoup,1.8.3,ga,42,57.57575757575757
jhy-jsoup,1.9.1,exhaustive,33,66.66666666666667
mockito-mockito,2.28.1,hillclimbing,636,40.67164179104478
mockito-mockito,2.28.2,hillclimbing,583,45.615671641791046
mockito-mockito,3.0.0,hillclimbing,574,46.45522388059702
mockito-mockito,3.0.1,exhaustive,617,42.44402985074627
mockito-mockito,3.0.2,ga,393,63.339552238805965
mockito-mockito,3.0.3,hillclimbing,408,61.940298507462686
mockito-mockito,3.0.4,ga,512,52.23880597014925
mockito-mockito,3.0.5,ga,357,66.69776119402985
mockito-mockito,3.0.6,hillclimbing,627,41.51119402985075
mockito-mockito,3.0.7,exhaustive,540,49.626865671641795
mybatis-mybatis-3,3.3.1,hillclimbing,594,57.752489331436706
mybatis-mybatis-3,3.4.0,hillclimbing,686,51.20910384068279
mybatis-mybatis-3,3.4.1,exhaustive,705,49.85775248933144
mybatis-mybatis-3,3.4.2,exhaustive,692,50.7823613086771
mybatis-mybatis-3,3.4.3,exhaustive,644,54.19630156472262
mybatis-mybatis-3,3.4.4,exhaustive,674,52.062588904694174
mybatis-mybatis-3,3.4.5,hillclimbing,641,54.40967283072546
mybatis-mybatis-3,3.4.6,hillclimbing,725,48.4352773826458
mybatis-mybatis-3,3.5.0,hillclimbing,767,45.44807965860598
mybatis-mybatis-3,3.5.1,exhaustive,743,47.15504978662873
naver-pinpoint,1.6.2,hillclimbing,2790,45.186640471512774
naver-pinpoint,1.7.0,hillclimbing,3420,32.80943025540275
naver-pinpoint,1.7.1,ga,3450,32.22003929273084
naver-pinpoint,1.7.2,exhaustive,3388,33.438113948919444
naver-pinpoint,1.7.3,exhaustive,3304,35.08840864440078
naver-pinpoint,1.8.0,ga,3512,31.001964636542244
naver-pinpoint,1.8.1,exhaustive,4080,19.842829076620827
naver-pinpoint,1.8.2,exhaustive,4113,19.194499017681732
naver-pinpoint,1.8.3,ga,4091,19.626719056974462
naver-pinpoint,1.8.4,hillclimbing,3833,24.695481335952852
pxb1988-dex2jar,0.0.9.4,exhaustive,69,51.40845070422535
pxb1988-dex2jar,0.0.9.5,exhaustive,90,36.61971830985915
pxb1988-dex2jar,0.0.9.6,exhaustive,96,32.3943661971831
pxb1988-dex2jar,0.0.9.7,hillclimbing,91,35.91549295774647
pxb1988-dex2jar,0.0.9.8,ga,107,24.647887323943664
pxb1988-dex2jar,0.0.9.9,exhaustive,104,26.76056338028169
ReactiveX-RxJava,2.2.10,exhaustive,1291,25.029036004645768
ReactiveX-RxJava,2.2.11,hillclimbing,1069,37.92102206736353
ReactiveX-RxJava,2.2.12,exhaustive,1423,17.363530778164925
ReactiveX-RxJava,2.2.2,hillclimbing,1183,31.300813008130078
ReactiveX-RxJava,2.2.3,ga,1089,36.7595818815331
ReactiveX-RxJava,2.2.4,exhaustive,1258,26.94541231126597
ReactiveX-RxJava,2.2.5,exhaustive,1232,28.455284552845526
ReactiveX-RxJava,2.2.6,ga,545,68.3507549361208
ReactiveX-RxJava,2.2.7,exhaustive,1142,33.681765389082464
ReactiveX-RxJava,2.2.8,hillclimbing,679,60.56910569105691
redisson-redisson,3.11.2,hillclimbing,945,32.88352272727273
redisson-redisson,3.11.3,hillclimbing,783,44.38920454545454
redisson-redisson,3.7.2,exhaustive,694,50.71022727272727
redisson-redisson,3.7.3,hillclimbing,528,62.5
redisson-redisson,3.7.4,hillclimbing,477,66.12215909090908
redisson-redisson,3.7.5,hillclimbing,397,71.80397727272727
redisson-redisson,3.8.0,hillclimbing,815,42.11647727272727
redisson-redisson,3.8.1,ga,744,47.15909090909091
redisson-redisson,3.8.2,exhaustive,747,46.94602272727273
redisson-redisson,3.9.0,hillclimbing,697,50.49715909090908
swagger-api-swagger-core,1.5.23,ga,419,34.32601880877743
swagger-api-swagger-core,2.0.0,exhaustive,476,25.391849529780565
swagger-api-swagger-core,2.0.1,ga,494,22.5705329153605
swagger-api-swagger-core,2.0.2,ga,499,21.78683385579937
swagger-api-swagger-core,2.0.3,hillclimbing,521,18.338557993730408
swagger-api-swagger-core,2.0.4,exhaustive,524,17.868338557993734
swagger-api-swagger-core,2.0.5,exhaustive,716,-12.225705329153612
swagger-api-swagger-core,2.0.6,ga,723,-13.322884012539182
swagger-api-swagger-core,2.0.7,ga,731,-14.576802507836994
swagger-api-swagger-core,2.0.8,ga,734,-15.047021943573657
