name,version,bunch_algo,n_MoJo,mojoFM,extremity,extremity_ground_truth
apache-maven,3.5.4,exhaustive,612,67.44680851063829,0.7333333333333334,0.1875
apache-maven,3.6.0,ga,621,66.96808510638299,0.8095238095238095,0.2535211267605634
apache-maven,3.6.1,ga,678,63.93617021276597,0.7857142857142857,0.16923076923076918
apache-spark,2.2.3,hillclimbing,486,96.4945181765724,0.7777777777777778,0.14754098360655743
apache-spark,2.3.0,hillclimbing,541,96.09780727062895,0.8,0.060975609756097615
apache-spark,2.3.1,ga,540,96.10502019619156,0.8333333333333334,0.07228915662650603
apache-spark,2.3.2,ga,571,95.88141950375072,0.8181818181818181,0.06622516556291391
apache-spark,2.3.3,ga,579,95.82371609924984,0.8666666666666667,0.0927152317880795
apache-spark,2.3.4,ga,523,96.22763993075593,0.5,0.020689655172413834
apache-spark,2.4.0,ga,609,95.6073283323716,0.5555555555555556,0.051948051948051965
apache-spark,2.4.1,hillclimbing,542,96.09059434506635,0.7,0.056451612903225756
apache-spark,2.4.2,exhaustive,640,95.38372763993077,0.9130434782608696,0.16911764705882348
apache-spark,2.4.3,hillclimbing,593,95.7227351413733,0.7692307692307692,0.09523809523809523
apache-tomcat,9.0.20,ga,1775,55.3908017089721,0.23076923076923073,0.07058823529411762
apache-tomcat,9.0.21,ga,1718,56.82332244282483,0.631578947368421,0.1097560975609756
apache-tomcat,9.0.22,ga,1852,53.45564212113596,0.7586206896551724,0.2421052631578947
apache-tomcat,9.0.23,hillclimbing,1791,54.98869062578538,0.6111111111111112,0.15714285714285714
apache-tomcat,9.0.24,hillclimbing,1612,59.48730836893692,0.5,0.07017543859649122
apache-tomcat,9.0.25,hillclimbing,1646,58.632822317165115,0.5652173913043479,0.2615384615384615
apache-tomcat,9.0.26,hillclimbing,1688,57.57728072379995,0.3846153846153846,0.10909090909090913
apache-tomcat,9.0.6,exhaustive,1597,59.864287509424464,0.72,0.5714285714285714
apache-tomcat,9.0.7,exhaustive,1782,55.214878110077905,0.8666666666666667,0.3770491803278688
apache-tomcat,9.0.8,hillclimbing,1916,51.847197788389046,0.64,0.3220338983050848
rzwitserloot-lombok,1.16.20,exhaustive,616,33.333333333333336,0.8571428571428572,0.05641025641025643
rzwitserloot-lombok,1.16.22,ga,586,36.58008658008658,0.8333333333333334,0.03493449781659386
rzwitserloot-lombok,1.16.4,ga,424,54.11255411255412,0.8181818181818181,0.25
apache-tika,1.19.1,ga,937,-9.207459207459204,0.8333333333333334,0.024890190336749662
apache-tika,1.2,ga,323,62.354312354312356,0.75,0.09210526315789469
apache-tika,1.20,hillclimbing,898,-4.6620046620046605,0.8695652173913043,0.028189910979228516
apache-tika,1.21,ga,881,-2.680652680652673,0.8947368421052632,0.02631578947368418
apache-tika,1.22,hillclimbing,904,-5.3613053613053685,0.9583333333333334,0.03469079939668174
apache-tika,1.3,hillclimbing,291,66.08391608391608,0.9090909090909091,0.25
apache-tika,1.4,hillclimbing,272,68.2983682983683,0.7777777777777778,0.19047619047619047
apache-tika,1.5,hillclimbing,323,62.354312354312356,0.9230769230769231,0.24528301886792447
apache-tika,1.6,exhaustive,338,60.60606060606061,0.8666666666666667,0.1063829787234043
apache-tika,1.7,hillclimbing,296,65.5011655011655,0.8888888888888888,0.06201550387596899
alibaba-fastjson,1.2.51,ga,1300,53.203743700503956,0.7692307692307692,0.04761904761904767
alibaba-fastjson,1.2.52,exhaustive,1442,48.09215262778977,0.5454545454545454,0.04069767441860461
alibaba-fastjson,1.2.54,exhaustive,1558,43.91648668106552,0.36363636363636365,0.04216867469879515
alibaba-fastjson,1.2.55,exhaustive,1778,35.99712023038158,0.65,0.06965174129353235
alibaba-fastjson,1.2.56,ga,1664,40.10079193664507,0.4444444444444444,0.01621621621621616
alibaba-fastjson,1.2.57,hillclimbing,1050,62.203023758099356,0.5,0.01834862385321101
alibaba-fastjson,1.2.58,exhaustive,1481,46.68826493880489,0.8095238095238095,0.06278026905829592
alibaba-fastjson,1.2.59,hillclimbing,275,90.10079193664507,0.0,0.004716981132075526
alibaba-fastjson,1.2.60,hillclimbing,1422,48.8120950323974,0.6,0.03448275862068961
alibaba-fastjson,1.2.61,hillclimbing,1351,51.367890568754504,0.6666666666666667,0.0239520958083832
activiti-activiti,7.1.74,ga,1704,58.5804569761789,0.5,0.13953488372093026
activiti-activiti,7.1.75,exhaustive,1731,57.92416140009722,0.19999999999999996,0.040000000000000036
activiti-activiti,7.1.76,ga,1823,55.687894992707825,0.8076923076923077,0.2727272727272727
activiti-activiti,7.1.77,exhaustive,1269,69.1541079241614,0.2857142857142857,0.021276595744680882
activiti-activiti,7.1.78,exhaustive,1558,62.12931453573165,0.2727272727272727,0.07843137254901966
activiti-activiti,7.1.79,ga,1881,54.278074866310156,0.8333333333333334,0.47058823529411764
activiti-activiti,7.1.80,ga,1658,59.6985901798736,0.8,0.3877551020408163
activiti-activiti,7.1.81,ga,1732,57.89985415653865,0.8285714285714285,0.49122807017543857
activiti-activiti,7.1.82,ga,1865,54.666990763247455,0.9111111111111111,0.5588235294117647
activiti-activiti,7.1.83,hillclimbing,1614,60.76810889645114,0.5,0.2564102564102564
bumptech-glide,4.2.0,ga,420,61.111111111111114,0.875,0.033232628398791486
