,name,version_agglo,n_clusters,affinity,linkage,n_MoJo_agglo,mojoFM_agglo,extremity_agglo,version_bunch,bunch_algo,n_MoJo_bunch,mojoFM_bunch,extremity_bunch,extremity_ground_truth,Instance
37,alibaba-jetcache,2.5.2,200,euclidean,average,34,87.85714285714286,0.0,2.5.13,hillclimbing,145,48.21428571428571,0.8,0.09615384615384616,alibaba-jetcache
38,testcontainers-testcontainers-java,1.8.1,200,cosine,complete,62,87.4239350912779,0.0,1.8.1,ga,135,72.61663286004055,0.8,0.5555555555555556,testcontainers-testcontainers-java
39,mockito-mockito,3.0.1,50,l2,single,141,86.84701492537312,0.0,3.0.5,ga,357,66.69776119402985,0.25,0.0,mockito-mockito
40,knowm-XChange,4.3.2,50,cosine,single,342,86.46080760095013,0.0,4.3.4,hillclimbing,1873,25.851148060174193,0.4,0.008310249307479256,knowm-XChange
41,grpc-grpc-java,1.20.0,50,cosine,single,153,86.05287146763901,0.0,1.17.1,ga,495,54.876937101185035,0.875,0.08391608391608396,grpc-grpc-java
42,mybatis-mybatis-3,3.3.1,50,cosine,single,204,85.49075391180655,0.0,3.3.1,hillclimbing,594,57.75248933143671,0.6470588235294117,0.07106598984771573,mybatis-mybatis-3
43,auth0-java-jwt,3.7.0,50,cosine,single,17,84.82142857142857,0.020000000000000014,3.8.2,hillclimbing,25,77.67857142857143,0.6666666666666667,0.1428571428571429,auth0-java-jwt
44,coobird-thumbnailator,0.3.9,50,l1,single,40,83.60655737704919,0.020000000000000014,0.4.3,ga,55,77.45901639344262,1.0,0.11111111111111116,coobird-thumbnailator
45,cryptomator-cryptomator,1.4.5,50,l2,complete,32,82.51366120218579,0.020000000000000014,1.4.4,hillclimbing,36,80.327868852459,1.0,0.1875,cryptomator-cryptomator
46,apache-jmeter,2.7,50,euclidean,single,266,81.97831978319783,0.0,2.8,exhaustive,719,51.287262872628716,0.75,0.03543307086614178,apache-jmeter
47,uber-NullAway,0.6.5,50,l1,average,29,80.92105263157895,0.020000000000000014,0.7.7,exhaustive,43,71.71052631578947,0.5,0.10256410256410252,uber-NullAway
48,swagger-api-swagger-core,1.5.23,50,euclidean,single,126,80.25078369905954,0.0,1.5.23,ga,419,34.32601880877743,0.6666666666666667,0.2833333333333333,swagger-api-swagger-core
49,java-native-accessjna,5.2.0,50,cosine,single,191,80.22774327122153,0.0,5.2.0,ga,228,76.39751552795029,0.9375,0.03205128205128205,java-native-accessjna
50,pxb1988-dex2jar,0.0.9.5,100,cosine,average,29,79.5774647887324,0.0,0.0.9.4,exhaustive,69,51.40845070422535,1.0,0.1333333333333333,pxb1988-dex2jar
51,quarkusio-quarkus,0.22,50,l1,single,449,79.55373406193078,0.0,0.21.2,exhaustive,648,70.49180327868852,0.30000000000000004,0.00540540540540535,quarkusio-quarkus
52,web3j-web3j,4.1.1,50,cosine,single,135,78.5031847133758,0.0,4.1.0,ga,311,50.47770700636942,0.9,0.07526881720430112,web3j-web3j
53,apache-storm,1.2.3,50,cosine,single,447,78.24817518248175,0.0,1.2.1,hillclimbing,847,58.783454987834546,0.7142857142857143,0.006741573033707815,apache-storm
54,btraceio-btrace,1.3.3,250,l2,complete,84,76.66666666666666,0.040000000000000036,1.3.2,hillclimbing,156,56.66666666666666,0.6666666666666667,0.029411764705882363,btraceio-btrace
55,immutables-immutables,2.7.1,50,cosine,single,161,76.66666666666666,0.0,2.6.2,exhaustive,215,68.84057971014492,0.5,0.024193548387096756,immutables-immutables
56,ZieIony-Carbon,0.7.2,50,cosine,average,55,75.87719298245614,0.020000000000000014,0.7.3,exhaustive,72,68.42105263157895,1.0,0.015625,ZieIony-Carbon
57,google-dagger,2.24,50,l2,single,205,74.18136020151134,0.0,2.23,exhaustive,538,32.241813602015114,0.5,0.003703703703703653,google-dagger
58,Twitter4J-Twitter4J,4.0.6,250,l2,single,143,73.17073170731706,0.020000000000000014,4.0.6,exhaustive,289,45.778611632270184,0.9090909090909092,0.06081081081081085,Twitter4J-Twitter4J
59,naver-pinpoint,1.8.4,50,cosine,single,1854,63.575638506876224,0.0,1.6.2,hillclimbing,2790,45.186640471512774,0.647887323943662,0.021987686895338587,naver-pinpoint
60,lettuce-io-lettuce-core,5.1.5,50,cosine,single,342,51.898734177215175,0.0,5.1.5,exhaustive,554,22.08157524613221,0.6666666666666667,0.0238805970149254,lettuce-io-lettuce-core
61,apache-log4j,1.2.13,100,l1,average,190,32.862190812720854,0.0,1.2.13,exhaustive,228,19.434628975265017,0.8,0.02083333333333337,apache-log4j
