name,version,n_clusters,affinity,linkage,n_MoJo,mojoFM
apache_storm,1.1.1,150,l2,average, 1615,20.48252092565239
apache_storm,1.1.1,150,l2,single, 1601,21.17183653372723
apache_storm,1.1.1,150,l2,single, 1577,22.353520433284103
apache_storm,1.1.1,150,manhattan,complete, 1611,20.679468242245203
apache_storm,1.1.1,150,manhattan,complete, 1602,21.122599704579027
apache_storm,1.1.1,150,manhattan,average, 1611,20.679468242245203
apache_storm,1.1.1,150,manhattan,average, 1594,21.516494337764648
apache_storm,1.1.1,150,manhattan,single, 1612,20.630231413097
apache_storm,1.1.1,150,manhattan,single, 1602,21.122599704579027
apache_storm,1.1.1,150,cosine,complete, 1608,20.82717872968981
apache_storm,1.1.1,150,cosine,complete, 1600,21.22107336287543
apache_storm,1.1.1,150,cosine,average, 1614,20.531757754800594
apache_storm,1.1.1,150,cosine,average, 1613,20.580994583948797
apache_storm,1.1.1,150,cosine,single, 1604,21.02412604628262
apache_storm,1.1.1,150,cosine,single, 1576,22.402757262432303
apache_storm,1.1.2,50,euclidean,complete, 1648,18.857705563761694
apache_storm,1.1.2,50,euclidean,complete, 677,66.66666666666667
apache_storm,1.1.2,50,euclidean,average, 1620,20.23633677991138
apache_storm,1.1.2,50,euclidean,average, 922,54.60364352535696
apache_storm,1.1.2,50,euclidean,single, 1653,18.611521418020683
apache_storm,1.1.2,50,euclidean,single, 519,74.44608567208272
apache_storm,1.1.2,50,l1,complete, 1674,17.577548005908415
apache_storm,1.1.2,50,l1,complete, 627,69.1285081240768
apache_storm,1.1.2,50,l1,average, 1586,21.91038897095027
apache_storm,1.1.2,50,l1,average, 565,72.18119153126538
apache_storm,1.1.2,50,l1,single, 1628,19.842442146725748
apache_storm,1.1.2,50,l1,single, 560,72.4273756770064
apache_storm,1.1.2,50,l2,complete, 1624,20.039389463318557
apache_storm,1.1.2,50,l2,complete, 677,66.66666666666667
apache_storm,1.1.2,50,l2,average, 1619,20.285573609059583
apache_storm,1.1.2,50,l2,average, 922,54.60364352535696
apache_storm,1.1.2,50,l2,single, 1600,21.22107336287543
apache_storm,1.1.2,50,l2,single, 519,74.44608567208272
apache_storm,1.1.2,50,manhattan,complete, 1669,17.82373215164943
apache_storm,1.1.2,50,manhattan,complete, 627,69.1285081240768
apache_storm,1.1.2,50,manhattan,average, 1672,17.67602166420482
apache_storm,1.1.2,50,manhattan,average, 565,72.18119153126538
apache_storm,1.1.2,50,manhattan,single, 1662,18.16838995568686
apache_storm,1.1.2,50,manhattan,single, 560,72.4273756770064
apache_storm,1.1.2,50,cosine,complete, 1592,21.61496799606105
apache_storm,1.1.2,50,cosine,complete, 675,66.76514032496308
apache_storm,1.1.2,50,cosine,average, 1631,19.69473165928114
apache_storm,1.1.2,50,cosine,average, 677,66.66666666666667
apache_storm,1.1.2,50,cosine,single, 1593,21.565731166912848
apache_storm,1.1.2,50,cosine,single, 508,74.98769079271295
apache_storm,1.1.2,100,euclidean,complete, 1631,19.69473165928114
apache_storm,1.1.2,100,euclidean,complete, 863,57.508616445100934
apache_storm,1.1.2,100,euclidean,average, 1631,19.69473165928114
apache_storm,1.1.2,100,euclidean,average, 1589,21.76267848350566
apache_storm,1.1.2,100,euclidean,single, 1609,20.777941900541606
apache_storm,1.1.2,100,euclidean,single, 579,71.49187592319055
apache_storm,1.1.2,100,l1,complete, 1648,18.857705563761694
apache_storm,1.1.2,100,l1,complete, 766,62.28458887247661
apache_storm,1.1.2,100,l1,average, 1637,19.399310684391924
apache_storm,1.1.2,100,l1,average, 681,66.46971935007386
apache_storm,1.1.2,100,l1,single, 1645,19.005416051206304
apache_storm,1.1.2,100,l1,single, 661,67.45445593303792
apache_storm,1.1.2,100,l2,complete, 1627,19.89167897587395
apache_storm,1.1.2,100,l2,complete, 868,57.26243229935992
apache_storm,1.1.2,100,l2,average, 1629,19.793205317577545
apache_storm,1.1.2,100,l2,average, 1597,21.36878385032004
apache_storm,1.1.2,100,l2,single, 1615,20.48252092565239
apache_storm,1.1.2,100,l2,single, 579,71.49187592319055
apache_storm,1.1.2,100,manhattan,complete, 1635,19.49778434268833
apache_storm,1.1.2,100,manhattan,complete, 766,62.28458887247661
apache_storm,1.1.2,100,manhattan,average, 1650,18.759231905465292
apache_storm,1.1.2,100,manhattan,average, 679,66.56819300837027
apache_storm,1.1.2,100,manhattan,single, 1659,18.316100443131468
apache_storm,1.1.2,100,manhattan,single, 660,67.5036927621861
apache_storm,1.1.2,100,cosine,complete, 1586,21.91038897095027
apache_storm,1.1.2,100,cosine,complete, 806,60.315115706548504
