project_name,version,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
mrniko-netty-socketio,1.7.5,7.447961847854012,12.6936369153117,0.8016835003619005,16.568109424839786,185.37135882199448,7.680599331567387,0.5773502691896267,7.4938303918984355,1.4818621871516697,0.4176779006129429,0.0,0.16510168678179252,0.13544536999096835,0.0,4.494718257225693,1.565020898233387,1.2000850898642572,3.9663258926721165,0.2708907399819367,0.0,2.852555284493247,0.0,1.8105829043277992,65.48051216334603,5.233059169621408,1.6430307414370007,2.757600654684527,0.5015552137090734,1.403988532938589,3.8196174321252507,6.130715274903201,12.344522863252218,2.8697796375119426,10.254548417159842,1.4042350521508733,0.747211268531201,0.6102845349250697,0.0,35.828177078365854,284.3437319676858
mrniko-netty-socketio,1.7.6,7.4821293959461075,12.694137970037735,0.8016835003619005,16.60668333726438,185.36367573250726,7.681934321423026,0.5773502691896267,7.4938303918984355,1.4818621871516697,0.49469319468827305,0.0,0.16510168678179252,0.13544536999096835,0.0,4.537705957286569,1.6298901975515896,1.2849476030870404,3.9663258926721165,0.2708907399819367,0.0,2.8874557112788306,0.0,1.8105829043277992,65.69158339891464,5.233059169621408,1.6430307414370007,2.757600654684527,0.5015552137090734,1.403988532938589,3.84786626149547,6.130715274903201,12.36956872852061,2.8697796375119426,10.284676756118637,1.4042350521508733,0.747211268531201,0.6102845349250697,0.0,36.02155401638891,284.3437319676858
mrniko-netty-socketio,1.7.7,7.373990085076891,13.01709916708038,0.7484206334255582,16.79905275537577,183.75958293451487,7.630810860932763,0.5720775535473567,7.425111238049882,1.5840110192454167,0.49044243102372004,0.0,0.1636224625732934,0.1342200153122676,0.0,4.468740467716434,1.5702615815617385,1.2734538614653712,3.9121823801828546,0.26844003062453525,0.0,2.811049922725798,0.0,1.695527158030706,64.83275526405826,5.327701537222666,1.69933510031207,2.9161338327384807,0.5278720243219158,1.9298800560809617,3.9238901736770426,7.354346017001212,12.528120163417343,3.1540910325905696,10.399108192981796,1.4372907977735296,0.82294047528049,0.5150771013647291,0.0,36.00572306469036,281.95561910098377
mrniko-netty-socketio,1.7.8,7.384263879434059,13.22946931316027,0.7098644781238684,17.09032389728273,196.58895776376897,7.829401273081946,0.5746957711326921,7.6211586470394055,1.5962707133447098,0.4925541412465473,0.0,0.16435708619920822,0.13482851771010265,0.0,4.543294207532811,1.5765116741665925,1.279162038827224,3.9942194044689634,0.26965703542020525,0.0,2.823046024228079,0.0,1.7131638401470026,65.7741517755576,5.433563780657932,1.7062575962349549,2.932529312476775,0.5530012636093311,1.9384427545342098,4.048277300230089,7.400374677127878,12.677693842685871,3.1667069046212206,10.503102141945746,1.4429342061728,0.828784731904648,0.517449507222332,0.0,37.84806976110568,283.1422090283773
mrniko-netty-socketio,1.7.9,7.581427715144735,13.53208273952183,0.6518965725058923,16.914406906378165,223.16259147180264,8.169341553715698,0.5800418934273982,7.98104349023908,1.5193456535473648,0.4968601821007802,0.0,0.16585649202791136,0.13607076483136116,0.0,4.827257585801966,1.8437941301067722,1.4408333371153563,4.1788401489290665,0.27214152966272237,0.0,2.9023063448842974,0.0,1.6896899180158054,66.86703197191312,5.57180093098542,1.7197905167835863,3.015448380704841,0.5577241711653697,1.9559151182811185,3.791958005075388,7.526617669952312,12.698426835003454,3.020619201960359,10.372654389793752,1.429036123629485,0.8379552074198477,0.5222943564846638,0.0,37.64130843719497,270.59910054285206
JodaOrg-joda-time,2.9.1,8.909267440931941,35.90730703691574,2.1793304152056336,32.69266415980528,965.8323114976192,24.21014279511143,4.525524599030944,24.238555655207154,3.2861272371661023,1.7073330914385805,0.0,4.120774276282799,2.404850289543215,0.14529209601626997,6.132062816100827,4.71644635157273,2.6201500812390517,5.370771701743754,0.07784917299262985,0.0,4.532370945643067,0.0,52.751033085483144,286.05860076976694,18.57597659258191,5.612923606223038,9.91044112811553,9.070106312880121,7.500586875004764,60.29431454557608,297.07480122549435,64.50513992948362,27.306727201070558,47.63180810136659,1.1365463968575835,1.3654129175153102,1.4410089462959335,0.0,99.65572251072619,311.3218973704561
JodaOrg-joda-time,2.9.2,8.909267440931941,35.91952768926015,2.1793304152056336,32.69931695812259,966.1256108101558,24.219405864543067,4.525524599030944,24.247902648685063,3.2861272371661023,1.7073330914385805,0.0,4.120774276282799,2.404850289543215,0.14529209601626997,6.131186253981703,4.716092676746942,2.6201500812390517,5.370771701743754,0.07784917299262985,0.0,4.531880219082659,0.0,52.782388361700654,286.15755095604254,18.57597659258191,5.612923606223038,9.91044112811553,9.06911317871383,7.500586875004764,60.40197883655742,297.2434180369909,64.54110596439621,27.305859104480863,47.68689465060029,1.1289956514363828,1.3654129175153102,1.4410089462959335,0.0,99.68708752878591,311.3218973704561
JodaOrg-joda-time,2.9.3,8.909267440931941,35.92597191142383,2.1793304152056336,32.69931695812259,966.4112553040665,24.22757646747066,4.525524599030944,24.256121340651344,3.2861272371661023,1.7073330914385805,0.0,4.120774276282799,2.404850289543215,0.14529209601626997,6.131186253981703,4.716092676746942,2.620249108305662,5.37181202622574,0.07784917299262985,0.0,4.531880219082659,0.0,52.782388361700654,286.20412500752815,18.57597659258191,5.612923606223038,9.91044112811553,9.06911317871383,7.500586875004764,60.40197883655742,297.48849491611935,64.55655475592069,27.32130899903431,47.698103619402325,1.1289956514363828,1.3654129175153102,1.4410089462959335,0.0,99.68842538545123,311.3218973704561
JodaOrg-joda-time,2.9.4,8.909267440931941,35.93089361979464,2.1793304152056336,32.711187053817916,966.4139820349747,24.230837359264807,4.525524599030944,24.25956174942163,3.2861272371661023,1.7073330914385805,0.0,4.120774276282799,2.404850289543215,0.14529209601626997,6.131186253981703,4.716092676746942,2.620249108305662,5.37181202622574,0.07784917299262985,0.0,4.531880219082659,0.0,52.85671049607477,286.39447539557096,18.57597659258191,5.612923606223038,9.91044112811553,9.077863730215746,7.500586875004764,60.40197883655742,297.48849491611935,64.5657879540478,27.32130899903431,47.70852193749818,1.1289956514363828,1.375467894295549,1.4410089462959335,0.0,99.70176262648559,311.3218973704561
JodaOrg-joda-time,2.9.5,8.903490757892886,36.01121135174764,2.1793304152056336,32.756105834172764,968.4496508256367,24.280999638305495,4.532759399825563,24.326143342242556,3.2791488392931947,1.7073330914385805,0.0,4.120774276282799,2.404850289543215,0.14529209601626997,6.135122244998827,4.719182505466934,2.620249108305662,5.371432495033922,0.07784917299262985,0.0,4.53460512454557,0.0,52.93615798862049,287.4193796654121,18.549109520613392,5.610207091045552,9.9385921267965,9.103734104531382,7.499298160751272,60.88677816534736,297.6709051141903,64.80385001065008,27.319523503258683,48.00775472825701,1.1289956514363828,1.375467894295549,1.4410089462959335,0.0,99.7252764081855,311.3218973704561
