file,class,method,variable,usage
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,overrideModules/1[java.util.List<java.lang.Class<?>>],modules,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,obtainAuthMechanismFrom/1[org.apache.isis.applib.ModuleOrBuilderAbstract<?>],authMechanism,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,obtainAuthMechanismFrom/1[org.apache.isis.applib.ModuleOrBuilderAbstract<?>],AppManifestAbstract2,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,obtainAuthMechanismFrom/1[org.apache.isis.applib.ModuleOrBuilderAbstract<?>],Builder,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,obtainAuthMechanismFrom/1[org.apache.isis.applib.ModuleOrBuilderAbstract<?>],builder,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract2.java,org.apache.isis.applib.AppManifestAbstract2,getModule/0,module,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract2.java,org.apache.isis.applib.AppManifestAbstract2,AppManifestAbstract2/1[org.apache.isis.applib.AppManifestAbstract2.Builder],module,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\conmap\ContentMappingServiceForCommandDto.java,org.apache.isis.applib.conmap.ContentMappingServiceForCommandDto,asProcessedDto/1[org.apache.isis.applib.services.command.CommandWithDto],metaModelService,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\conmap\ContentMappingServiceForCommandDto.java,org.apache.isis.applib.conmap.ContentMappingServiceForCommandDto,asProcessedDto/1[org.apache.isis.applib.services.command.CommandWithDto],commandDtoProcessorServices,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\conmap\ContentMappingServiceForCommandsDto.java,org.apache.isis.applib.conmap.ContentMappingServiceForCommandsDto,"asDto/2[java.lang.Object,org.apache.isis.applib.services.metamodel.MetaModelService5]",contentMappingServiceForCommandDto,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\conmap\ContentMappingServiceForCommandsDto.java,org.apache.isis.applib.conmap.ContentMappingServiceForCommandsDto,"asDto/2[java.lang.Object,org.apache.isis.applib.services.metamodel.MetaModelService5]",metaModelService5,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\conmap\ContentMappingServiceForCommandsDto.java,org.apache.isis.applib.conmap.ContentMappingServiceForCommandsDto,map/1[java.lang.Object],metaModelService5,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\Defaults.java,org.apache.isis.applib.Defaults,getCalendar/0,calendar,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\Defaults.java,org.apache.isis.applib.Defaults,setTimeZone/1[DateTimeZone],calendar,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\Defaults.java,org.apache.isis.applib.Defaults,setTimeZone/1[DateTimeZone],timeZone,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\Defaults.java,org.apache.isis.applib.Defaults,getTimeZone/0,timeZone,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\domain\DomainObjectList.java,org.apache.isis.applib.domain.DomainObjectList,title/0,title,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\domain\DomainObjectList.java,org.apache.isis.applib.domain.DomainObjectList,"DomainObjectList/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",actionOwningType,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\domain\DomainObjectList.java,org.apache.isis.applib.domain.DomainObjectList,"DomainObjectList/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",actionId,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\domain\DomainObjectList.java,org.apache.isis.applib.domain.DomainObjectList,"DomainObjectList/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",actionArguments,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\domain\DomainObjectList.java,org.apache.isis.applib.domain.DomainObjectList,"DomainObjectList/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",elementObjectType,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\domain\DomainObjectList.java,org.apache.isis.applib.domain.DomainObjectList,"DomainObjectList/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",title,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\domain\DomainObjectList.java,org.apache.isis.applib.domain.DomainObjectList,getActionOwningType/0,actionOwningType,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\domain\DomainObjectList.java,org.apache.isis.applib.domain.DomainObjectList,getObjects/0,objects,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\domain\DomainObjectList.java,org.apache.isis.applib.domain.DomainObjectList,getActionId/0,actionId,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\domain\DomainObjectList.java,org.apache.isis.applib.domain.DomainObjectList,getElementObjectType/0,elementObjectType,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\domain\DomainObjectList.java,org.apache.isis.applib.domain.DomainObjectList,setObjects/1[java.util.List<java.lang.Object>],objects,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\domain\DomainObjectList.java,org.apache.isis.applib.domain.DomainObjectList,getActionArguments/0,actionArguments,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\events\ActionArgumentEvent.java,org.apache.isis.applib.events.ActionArgumentEvent,getPosition/0,position,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\events\ActionArgumentEvent.java,org.apache.isis.applib.events.ActionArgumentEvent,getArgs/0,args,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\events\ActionArgumentEvent.java,org.apache.isis.applib.events.ActionArgumentEvent,getProposed/0,proposed,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\events\ActionArgumentEvent.java,org.apache.isis.applib.events.ActionArgumentEvent,"ActionArgumentEvent/4[java.lang.Object,org.apache.isis.applib.Identifier,java.lang.Object[],int]",args,4
