file,class,method,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\ClassFileMetaData.java,lombok.bytecode.ClassFileMetaData,"usesField/2[java.lang.String,java.lang.String]",164,1,7,3,13,4,4,2,164,1,5,0,0,0,2,4,1,2,0,0,0,52,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\ClassFileMetaData.java,lombok.bytecode.ClassFileMetaData,getClassName/1[int],414,1,2,1,4,2,0,1,414,0,0,0,0,0,1,0,0,0,0,0,0,6,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\ClassFileMetaData.java,lombok.bytecode.ClassFileMetaData,containsLong/1[long],239,1,4,1,6,2,1,1,239,1,2,0,0,0,1,1,0,1,0,0,0,31,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\ClassFileMetaData.java,lombok.bytecode.ClassFileMetaData,"appendNameAndType/2[java.lang.StringBuilder,int]",409,1,1,2,4,0,1,2,409,0,0,0,0,1,1,1,1,0,0,0,0,8,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\ClassFileMetaData.java,lombok.bytecode.ClassFileMetaData,containsDouble/1[double],251,1,6,2,10,2,3,1,251,1,2,0,1,0,1,3,0,2,0,0,0,35,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\ClassFileMetaData.java,lombok.bytecode.ClassFileMetaData,"usesMethod/3[java.lang.String,java.lang.String,java.lang.String]",205,1,7,4,10,4,3,3,205,1,4,0,0,0,2,3,1,1,0,0,0,49,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\ClassFileMetaData.java,lombok.bytecode.ClassFileMetaData,readFloat/1[int],303,1,1,2,3,1,0,1,303,0,0,0,0,0,0,0,0,0,0,0,0,4,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\ClassFileMetaData.java,lombok.bytecode.ClassFileMetaData,"appendAccess/2[java.lang.StringBuilder,int]",403,1,1,4,5,0,1,2,403,0,0,0,0,1,1,1,1,0,0,0,0,13,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\ClassFileMetaData.java,lombok.bytecode.ClassFileMetaData,isMethod/1[int],419,0,1,0,4,1,1,1,419,0,2,0,0,0,0,1,0,0,0,0,0,17,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\ClassFileMetaData.java,lombok.bytecode.ClassFileMetaData,getInterfaces/0,331,1,3,4,9,2,3,0,331,1,1,0,1,0,5,3,3,1,0,0,0,18,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\FixedClassWriter.java,lombok.bytecode.FixedClassWriter,"getCommonSuperClass/2[java.lang.String,java.lang.String]",32,0,3,1,11,2,0,2,32,0,0,1,0,1,0,0,0,1,0,0,0,13,4
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\FixedClassWriter.java,lombok.bytecode.FixedClassWriter,"FixedClassWriter/2[ClassReader,int]",28,1,1,0,3,0,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,5,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\PoolConstantsApp.java,lombok.bytecode.PoolConstantsApp,isDebugTool/0,50,0,1,0,3,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,4,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\PoolConstantsApp.java,lombok.bytecode.PoolConstantsApp,getAppDescription/0,46,0,1,0,3,1,0,0,46,0,0,0,0,1,0,0,0,0,0,0,0,10,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\PoolConstantsApp.java,lombok.bytecode.PoolConstantsApp,getAppName/0,42,0,1,0,3,1,0,0,42,0,0,0,0,1,0,0,0,0,0,0,0,3,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\PoolConstantsApp.java,lombok.bytecode.PoolConstantsApp,runApp/1[java.util.List<java.lang.String>],65,4,9,15,30,3,5,1,65,1,1,1,0,5,8,5,0,2,0,0,0,26,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\PostCompilerApp.java,lombok.bytecode.PostCompilerApp,getAppDescription/0,52,0,1,0,3,1,0,0,52,0,0,0,0,1,0,0,0,0,0,0,0,14,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\PostCompilerApp.java,lombok.bytecode.PostCompilerApp,"writeFile/2[java.io.File,byte[]]",153,1,1,2,9,0,1,2,153,0,0,1,0,0,0,1,0,1,0,0,0,10,8
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\PostCompilerApp.java,lombok.bytecode.PostCompilerApp,"addFiles/2[java.util.List<java.io.File>,java.lang.String]",121,1,2,3,9,0,1,2,121,0,0,0,0,0,0,1,0,1,0,0,0,6,8
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\PostCompilerApp.java,lombok.bytecode.PostCompilerApp,getAppName/0,56,0,1,0,3,1,0,0,56,0,0,0,0,1,0,0,0,0,0,0,0,3,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\PostCompilerApp.java,lombok.bytecode.PostCompilerApp,readFile/1[java.io.File],137,1,3,4,16,1,4,1,137,1,1,1,0,0,3,4,0,2,0,0,0,14,8
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\PostCompilerApp.java,lombok.bytecode.PostCompilerApp,runApp/1[java.util.List<java.lang.String>],75,5,12,18,37,3,7,1,75,1,1,1,0,6,8,7,2,2,0,0,0,29,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\PostCompilerApp.java,lombok.bytecode.PostCompilerApp,getAppAliases/0,48,0,1,1,3,1,0,0,48,0,0,0,0,2,0,0,0,0,0,0,0,3,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\PostCompilerApp.java,lombok.bytecode.PostCompilerApp,cmdArgsToFiles/1[java.util.List<java.lang.String>],115,1,2,1,5,1,1,1,115,1,0,0,0,0,0,1,0,0,0,0,0,10,8
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.18.10\src\core\lombok\bytecode\PostCompilerApp.java,lombok.bytecode.PostCompilerApp,"addRecursively/2[java.util.List<java.io.File>,java.io.File]",130,1,4,6,6,0,0,2,130,1,0,0,0,1,0,0,0,1,0,0,0,5,8
