Instance,abstractMethods_max,abstractMethods_mean,defaultMethods_sum,anonymousClassesQty_sum,cbo_max,cbo_sum,comparisonsQty_max,defaultMethods_max,cbo_mean,Label
facebook-facebook-android-sdk_5.1.1,4,4,0,461,68,4726,35,0,68,l1
facebook-facebook-android-sdk_5.4.0,4,4,0,467,68,4805,36,0,68,l1
facebook-facebook-android-sdk_5.5.0,4,4,0,476,68,4803,36,0,68,cosine
google-dagger_2.20,18,18,9,121,73,5980,4,6,73,cosine
google-dagger_2.21,18,18,9,116,74,6117,4,6,74,cosine
google-dagger_2.22,18,18,9,119,76,6380,4,6,76,cosine
google-dagger_2.22.1,18,18,9,119,76,6380,4,6,76,cosine
google-dagger_2.23,18,18,9,122,76,6484,4,6,76,cosine
google-dagger_2.23.1,18,18,9,122,76,6485,4,6,76,l2
google-dagger_2.23.2,18,18,9,122,76,6479,4,6,76,cosine
google-dagger_2.24,18,18,9,118,73,6232,4,6,73,l2
google-error-prone_2.0.21,6,6,0,478,223,11966,27,0,223,cosine
google-error-prone_2.1.0,14,14,25,374,176,18523,78,4,176,cosine
google-error-prone_2.1.0,14,2,25,374,176,18523,78,4,37,cosine
google-error-prone_2.1.0,14,6,25,374,176,18523,78,4,243,cosine
google-error-prone_2.1.0,14,14,25,374,176,18523,78,4,176,cosine
google-error-prone_2.1.0,14,2,25,374,176,18523,78,4,37,cosine
google-error-prone_2.1.0,14,6,25,374,176,18523,78,4,243,cosine
google-error-prone_2.1.0,14,14,25,374,176,18523,78,4,176,cosine
google-error-prone_2.1.0,14,2,25,374,176,18523,78,4,37,cosine
google-error-prone_2.1.0,14,6,25,374,176,18523,78,4,243,cosine
google-error-prone_2.1.0,2,14,25,374,37,18523,4,0,176,cosine
google-error-prone_2.1.0,2,2,25,374,37,18523,4,0,37,cosine
google-error-prone_2.1.0,2,6,25,374,37,18523,4,0,243,cosine
google-error-prone_2.1.0,2,14,25,374,37,18523,4,0,176,cosine
google-error-prone_2.1.0,2,2,25,374,37,18523,4,0,37,cosine
google-error-prone_2.1.0,2,6,25,374,37,18523,4,0,243,cosine
google-error-prone_2.1.0,2,14,25,374,37,18523,4,0,176,cosine
google-error-prone_2.1.0,2,2,25,374,37,18523,4,0,37,cosine
google-error-prone_2.1.0,2,6,25,374,37,18523,4,0,243,cosine
google-error-prone_2.1.0,6,14,25,374,243,18523,27,0,176,cosine
google-error-prone_2.1.0,6,2,25,374,243,18523,27,0,37,cosine
google-error-prone_2.1.0,6,6,25,374,243,18523,27,0,243,cosine
google-error-prone_2.1.0,6,14,25,374,243,18523,27,0,176,cosine
google-error-prone_2.1.0,6,2,25,374,243,18523,27,0,37,cosine
google-error-prone_2.1.0,6,6,25,374,243,18523,27,0,243,cosine
google-error-prone_2.1.0,6,14,25,374,243,18523,27,0,176,cosine
google-error-prone_2.1.0,6,2,25,374,243,18523,27,0,37,cosine
google-error-prone_2.1.0,6,6,25,374,243,18523,27,0,243,cosine
google-error-prone_2.1.0,14,14,0,13,176,1833,78,4,176,cosine
google-error-prone_2.1.0,14,2,0,13,176,1833,78,4,37,cosine
google-error-prone_2.1.0,14,6,0,13,176,1833,78,4,243,cosine
google-error-prone_2.1.0,14,14,0,13,176,1833,78,4,176,cosine
google-error-prone_2.1.0,14,2,0,13,176,1833,78,4,37,cosine
google-error-prone_2.1.0,14,6,0,13,176,1833,78,4,243,cosine
google-error-prone_2.1.0,14,14,0,13,176,1833,78,4,176,cosine
google-error-prone_2.1.0,14,2,0,13,176,1833,78,4,37,cosine
google-error-prone_2.1.0,14,6,0,13,176,1833,78,4,243,cosine
google-error-prone_2.1.0,2,14,0,13,37,1833,4,0,176,cosine
google-error-prone_2.1.0,2,2,0,13,37,1833,4,0,37,cosine
google-error-prone_2.1.0,2,6,0,13,37,1833,4,0,243,cosine
google-error-prone_2.1.0,2,14,0,13,37,1833,4,0,176,cosine
google-error-prone_2.1.0,2,2,0,13,37,1833,4,0,37,cosine
google-error-prone_2.1.0,2,6,0,13,37,1833,4,0,243,cosine
google-error-prone_2.1.0,2,14,0,13,37,1833,4,0,176,cosine
google-error-prone_2.1.0,2,2,0,13,37,1833,4,0,37,cosine
google-error-prone_2.1.0,2,6,0,13,37,1833,4,0,243,cosine
google-error-prone_2.1.0,6,14,0,13,243,1833,27,0,176,cosine
google-error-prone_2.1.0,6,2,0,13,243,1833,27,0,37,cosine
google-error-prone_2.1.0,6,6,0,13,243,1833,27,0,243,cosine
google-error-prone_2.1.0,6,14,0,13,243,1833,27,0,176,cosine
google-error-prone_2.1.0,6,2,0,13,243,1833,27,0,37,cosine
google-error-prone_2.1.0,6,6,0,13,243,1833,27,0,243,cosine
google-error-prone_2.1.0,6,14,0,13,243,1833,27,0,176,cosine
google-error-prone_2.1.0,6,2,0,13,243,1833,27,0,37,cosine
google-error-prone_2.1.0,6,6,0,13,243,1833,27,0,243,cosine
google-error-prone_2.1.0,14,14,0,387,176,12297,78,4,176,cosine
google-error-prone_2.1.0,14,2,0,387,176,12297,78,4,37,cosine
google-error-prone_2.1.0,14,6,0,387,176,12297,78,4,243,cosine
google-error-prone_2.1.0,14,14,0,387,176,12297,78,4,176,cosine
google-error-prone_2.1.0,14,2,0,387,176,12297,78,4,37,cosine
google-error-prone_2.1.0,14,6,0,387,176,12297,78,4,243,cosine
google-error-prone_2.1.0,14,14,0,387,176,12297,78,4,176,cosine
google-error-prone_2.1.0,14,2,0,387,176,12297,78,4,37,cosine
google-error-prone_2.1.0,14,6,0,387,176,12297,78,4,243,cosine
google-error-prone_2.1.0,2,14,0,387,37,12297,4,0,176,cosine
google-error-prone_2.1.0,2,2,0,387,37,12297,4,0,37,cosine
google-error-prone_2.1.0,2,6,0,387,37,12297,4,0,243,cosine
google-error-prone_2.1.0,2,14,0,387,37,12297,4,0,176,cosine
google-error-prone_2.1.0,2,2,0,387,37,12297,4,0,37,cosine
google-error-prone_2.1.0,2,6,0,387,37,12297,4,0,243,cosine
google-error-prone_2.1.0,2,14,0,387,37,12297,4,0,176,cosine
google-error-prone_2.1.0,2,2,0,387,37,12297,4,0,37,cosine
google-error-prone_2.1.0,2,6,0,387,37,12297,4,0,243,cosine
google-error-prone_2.1.0,6,14,0,387,243,12297,27,0,176,cosine
google-error-prone_2.1.0,6,2,0,387,243,12297,27,0,37,cosine
google-error-prone_2.1.0,6,6,0,387,243,12297,27,0,243,cosine
google-error-prone_2.1.0,6,14,0,387,243,12297,27,0,176,cosine
google-error-prone_2.1.0,6,2,0,387,243,12297,27,0,37,cosine
